"location","lon","lat","counts","positive.counts","negative.counts","neutral.counts","totalpopulation"
"BATTLE LAKE MN",-95.71406555,46.28032303,1,1,0,0,868
"BAXLEY GA",-82.34827423,31.77871323,2,0,2,0,4428
"BAXTER SPRINGS KS",-94.73813629,37.02472305,20,6,2,12,4114
"BAY CITY MI",-83.8886261,43.59466171,56,12,13,31,34402
"BAY CITY TX",-95.9697113,28.98308754,2,0,1,1,17499
"BAY HARBOR ISLANDS FL",-80.13056946,25.88832092,1,1,0,0,5921
"BAY LAKE FL",-81.92185974,28.45840073,28,6,8,14,31
"BAY SPRINGS MS",-89.28733826,31.97930336,3,0,3,0,1738
"BAY VILLAGE OH",-81.92155457,41.48464966,49,20,14,15,15469
"BAYFIELD WI",-90.81848145,46.81044769,1,0,0,1,544
"BAYONNE NJ",-74.10975647,40.66794968,38,12,9,17,65378
"BAYTOWN TX",-94.97782135,29.73608589,170,49,53,68,74897
"BEACON NY",-73.9688797,41.50502014,88,22,32,34,14375
"BEAR LAKE MI",-86.14846802,44.42086029,6,4,0,2,275
"BEARDSLEY MN",-96.71322632,45.55812454,1,0,1,0,170
"BEATRICE NE",-96.74773407,40.26797104,1,0,1,0,12355
"BEAUFORT NC",-76.66288757,34.71848679,21,9,6,6,4153
"BEAUFORT SC",-80.68718719,32.44019699,37,8,12,17,12839
"BEAUMONT CA",-116.9783173,33.9292717,8,4,2,2,40899
"BEAUMONT TX",-94.10238647,30.08622551,191,43,46,102,117676
"BEAVER DAM KY",-86.87591553,37.40219879,2,0,2,0,3557
"BEAVER DAM WI",-88.83752441,43.45764542,3,2,1,0,16400
"BEAVER FALLS PA",-80.3188858,40.75218582,5,2,1,2,8768
"BEAVER PA",-80.30450439,40.69532776,17,3,9,5,4467
"BEAVER UT",-112.6483307,38.27668381,6,2,2,2,3051
"BEAVERCREEK OH",-84.06332397,39.70913696,63,17,18,28,45999
"BEAVERTON OR",-122.8055344,45.48670197,397,131,115,151,93919
"BECKLEY WV",-81.18963623,37.77680588,12,5,3,4,17375
"BEDFORD IN",-86.48697662,38.86146164,13,2,7,4,13371
"BEDFORD OH",-81.53594208,41.39339828,11,2,4,5,12868
"BEDFORD PA",-78.50319672,40.01898575,16,6,3,7,2778
"BEDFORD TX",-97.14364624,32.8442955,39,11,12,16,48559
"BEDFORD VA",-79.52242279,37.33457184,7,1,4,2,6522
"BEE CAVE TX",-97.94541931,30.30895233,1,0,0,1,5362
"BEEBE AR",-91.87966156,35.07094574,4,0,2,2,7851
"BEECH GROVE IN",-86.08973694,39.72201157,11,3,2,6,14000
"BEECHER CITY IL",-88.78668976,39.18835068,3,0,1,2,454
"BEEVILLE TX",-97.7488327,28.40157127,7,1,2,4,13192
"BEL AIR MD",-76.34788513,39.53611374,42,13,10,19,10247
"BELDING MI",-85.22901917,43.09791946,3,1,1,1,5771
"BELEN NM",-106.7750244,34.65850067,8,0,6,2,7209
"BELL CA",-118.1889572,33.97753906,38,5,18,15,35998
"BELL GARDENS CA",-118.1536942,33.96530914,2,0,0,2,42842
"BELLAIRE MI",-85.21157837,44.98040009,1,0,0,1,917
"BELLAIRE OH",-80.74460602,40.02676773,1,1,0,0,4215
"BELLAIRE TX",-95.4592514,29.70632935,4,3,0,1,17869
"BELLE GLADE FL",-80.66747284,26.68785477,9,3,1,5,17950
"BELLE MO",-91.72072601,38.28581619,1,1,0,0,1738
"BELLEAIR BEACH FL",-82.84260559,27.9237709,4,0,4,0,1685
"BELLEFONTAINE OH",-83.75959015,40.36141205,5,1,2,2,13279
"BELLEFONTE PA",-77.77765656,40.91333389,27,7,7,13,6285
"BELLEVIEW FL",-82.06185913,29.05568314,9,0,6,3,4612
"BELLEVILLE IL",-89.98438263,38.52002716,661,198,168,295,42898
"BELLEVILLE MI",-83.48514557,42.20495987,17,6,4,7,3919
"BELLEVUE IA",-90.42323303,42.25885773,1,1,0,0,2134
"BELLEVUE KY",-84.47879791,39.10644531,9,4,2,3,5921
"BELLEVUE NE",-95.89156342,41.13648224,35,10,9,16,54067
"BELLEVUE OH",-82.84135437,41.27357483,2,0,2,0,8109
"BELLEVUE PA",-80.05105591,40.49424362,6,0,1,5,8329
"BELLEVUE WA",-122.2029648,47.61014557,281,91,82,108,134630
"BELLFLOWER CA",-118.1186295,33.88169479,40,5,10,25,77756
"BELLINGHAM WA",-122.4727402,48.76121521,566,171,145,250,82944
"BELLMAWR NJ",-75.09385681,39.86771774,39,6,8,25,11507
"BELLPORT NY",-72.93808746,40.75737,24,6,9,9,2059
"BELLVILLE TX",-96.25782776,29.95071411,2,0,1,1,4171
"BELLWOOD IL",-87.88317108,41.88128662,1,1,0,0,19190
"BELMAR NJ",-74.02155304,40.17336273,5,1,2,2,5745
"BELMONT CA",-122.2783508,37.51996613,78,34,14,30,26766
"BELMONT MS",-88.20941162,34.51007462,5,0,3,2,2119
"BELMONT NC",-81.0369873,35.24316406,15,4,4,7,10387
"BELOIT WI",-89.03194427,42.50856781,14,3,4,7,36858
"BELTON MO",-94.53222656,38.81176376,20,7,5,8,23209
"BELTON TX",-97.46511841,31.05611229,47,12,16,19,19766
"BELVIDERE IL",-88.84451294,42.26396942,8,2,4,2,25741
"BEMENT IL",-88.57191467,39.92221832,1,1,0,0,1744
"BEMIDJI MN",-94.88105774,47.47352982,52,16,17,19,14417
"BENBROOK TX",-97.46098328,32.67370987,6,2,2,2,22144
"BEND OR",-121.3171387,44.0577774,475,124,109,242,81780
"BENICIA CA",-122.1603012,38.04900742,41,11,12,18,27657
"BENLD IL",-89.80440521,39.09303665,1,0,0,1,1657
"BENNETT CO",-104.4285889,39.75864792,4,0,1,3,1915
"BENNETTSVILLE SC",-79.68428802,34.61242676,1,0,0,1,8834
"BENSENVILLE IL",-87.94012451,41.95510483,19,3,10,6,18485
"BENSON NC",-78.54795074,35.38231659,3,1,2,0,3478
"BENTON AR",-92.58699036,34.56454468,5,0,2,3,32725
"BENTON HARBOR MI",-86.45429993,42.11692429,28,8,7,13,10014
"BENTON KY",-88.35020447,36.85724258,1,0,0,1,4379
"BENTON LA",-93.74242401,32.69527817,3,0,1,2,1864
"BENTONVILLE AR",-94.20933533,36.3728447,106,28,32,46,40368
"BEREA KY",-84.29612732,37.5687027,10,5,4,1,14454
"BEREA OH",-81.85396576,41.36633301,41,15,13,13,19001
"BERGENFIELD NJ",-73.99640656,40.92791748,8,0,3,5,27339
"BERKELEY CA",-122.2752533,37.87145615,2833,803,785,1245,117384
"BERKELEY MO",-90.33169556,38.75470734,28,10,7,11,9083
"BERKLEY MI",-83.18341827,42.50307083,17,0,7,10,15178
"BERLIN MD",-75.21686554,38.32276917,3,1,1,1,4520
"BERLIN NJ",-74.9280014,39.79132462,2,1,0,1,7618
"BERNALILLO NM",-106.5516357,35.30175781,8,3,4,1,8522
"BERRIEN SPRINGS MI",-86.33900452,41.94654846,50,19,10,21,1318
"BERRYVILLE VA",-77.9814682,39.15181732,3,1,1,1,4267
